# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ECSPGSQL;60;1430600864;-1;63.61;0.00;23.99;6.31;1.27;4.82
ECSPGSQL;60;1430600864;0;63.63;0.00;24.00;6.45;1.25;4.67
ECSPGSQL;60;1430600864;1;63.63;0.00;23.99;6.15;1.27;4.97
ECSPGSQL;60;1430600924;-1;64.56;0.00;23.42;6.43;1.26;4.33
ECSPGSQL;60;1430600924;0;64.10;0.00;24.22;6.72;1.25;3.72
ECSPGSQL;60;1430600924;1;64.99;0.00;22.61;6.15;1.28;4.97
ECSPGSQL;60;1430600984;-1;67.03;0.00;23.25;5.31;1.25;3.17
ECSPGSQL;60;1430600984;0;67.25;0.00;23.02;5.07;1.22;3.45
ECSPGSQL;60;1430600984;1;66.80;0.00;23.48;5.55;1.28;2.88
ECSPGSQL;60;1430601044;-1;70.14;0.00;22.59;4.29;1.34;1.64
ECSPGSQL;60;1430601044;0;70.37;0.00;22.40;4.25;1.32;1.67
ECSPGSQL;60;1430601044;1;69.92;0.00;22.77;4.35;1.35;1.62
ECSPGSQL;60;1430601104;-1;71.29;0.00;22.90;3.02;1.49;1.29
ECSPGSQL;60;1430601104;0;71.27;0.00;22.96;3.13;1.53;1.10
ECSPGSQL;60;1430601104;1;71.33;0.00;22.84;2.90;1.47;1.47
ECSPGSQL;60;1430601164;-1;68.88;0.00;24.23;3.18;1.40;2.32
ECSPGSQL;60;1430601164;0;69.08;0.00;24.09;3.12;1.37;2.35
ECSPGSQL;60;1430601164;1;68.69;0.00;24.35;3.25;1.42;2.28
ECSPGSQL;60;1430601224;-1;68.56;0.00;22.79;4.66;1.34;2.66
ECSPGSQL;60;1430601224;0;68.61;0.00;22.76;4.85;1.35;2.43
ECSPGSQL;60;1430601224;1;68.45;0.00;22.83;4.46;1.35;2.90
ECSPGSQL;60;1430601284;-1;61.40;0.00;25.06;6.15;1.29;6.10
ECSPGSQL;60;1430601284;0;61.45;0.00;25.20;6.37;1.27;5.72
ECSPGSQL;60;1430601284;1;61.39;0.00;24.91;5.92;1.32;6.47
ECSPGSQL;60;1430601344;-1;59.19;0.00;24.05;7.27;1.26;8.23
ECSPGSQL;60;1430601344;0;59.12;0.00;23.97;7.07;1.23;8.62
ECSPGSQL;60;1430601344;1;59.28;0.00;24.12;7.47;1.28;7.85
ECSPGSQL;60;1430601404;-1;58.07;0.00;23.51;8.22;1.28;8.92
ECSPGSQL;60;1430601404;0;58.23;0.00;23.12;7.50;1.20;9.95
ECSPGSQL;60;1430601404;1;57.90;0.00;23.90;8.95;1.35;7.90
