ctime,datname,pid,usesysid,usename,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
1430600804.86037,dbt2,41324,10,mark,dbt2-client,,-1,2015-05-02 22:06:43.571404+01,,2015-05-02 22:06:44.858708+01,f,COMMIT,idle,2015-05-02 22:06:44.85985+01
1430600804.86037,dbt2,41328,10,mark,dbt2-client,,-1,2015-05-02 22:06:43.671302+01,,2015-05-02 22:06:44.846294+01,f,COMMIT,idle,2015-05-02 22:06:44.851994+01
1430600804.86037,dbt2,41330,10,mark,dbt2-client,,-1,2015-05-02 22:06:43.771409+01,,2015-05-02 22:06:44.838863+01,f,COMMIT,idle,2015-05-02 22:06:44.84078+01
1430600804.86037,dbt2,41332,10,mark,dbt2-client,,-1,2015-05-02 22:06:43.871493+01,,2015-05-02 22:06:44.809331+01,f,COMMIT,idle,2015-05-02 22:06:44.812633+01
1430600804.86037,dbt2,41334,10,mark,dbt2-client,,-1,2015-05-02 22:06:43.971627+01,2015-05-02 22:06:44.86003+01,2015-05-02 22:06:44.860189+01,f,FETCH ALL IN mycursor,active,2015-05-02 22:06:44.860189+01
1430600804.86037,dbt2,41336,10,mark,dbt2-client,,-1,2015-05-02 22:06:44.071728+01,2015-05-02 22:06:44.853294+01,2015-05-02 22:06:44.859772+01,f,COMMIT,active,2015-05-02 22:06:44.859772+01
1430600804.86037,dbt2,41338,10,mark,dbt2-client,,-1,2015-05-02 22:06:44.171862+01,2015-05-02 22:06:44.853317+01,2015-05-02 22:06:44.858976+01,f,COMMIT,active,2015-05-02 22:06:44.858977+01
1430600804.86037,dbt2,41340,10,mark,dbt2-client,,-1,2015-05-02 22:06:44.271995+01,,2015-05-02 22:06:44.836093+01,f,COMMIT,idle,2015-05-02 22:06:44.838175+01
1430600804.86037,dbt2,41342,10,mark,dbt2-client,,-1,2015-05-02 22:06:44.372198+01,,2015-05-02 22:06:44.822322+01,f,COMMIT,idle,2015-05-02 22:06:44.830129+01
1430600804.86037,dbt2,41344,10,mark,dbt2-client,,-1,2015-05-02 22:06:44.478397+01,,2015-05-02 22:06:44.830203+01,f,COMMIT,idle,2015-05-02 22:06:44.832814+01
1430600804.86037,dbt2,41350,10,mark,dbt2-client,,-1,2015-05-02 22:06:44.578608+01,,2015-05-02 22:06:44.794109+01,f,COMMIT,idle,2015-05-02 22:06:44.796237+01
1430600804.86037,dbt2,41410,10,mark,dbt2-client,,-1,2015-05-02 22:06:44.678695+01,,2015-05-02 22:06:44.820742+01,f,COMMIT,idle,2015-05-02 22:06:44.822268+01
1430600804.86037,dbt2,41475,10,mark,psql,,-1,2015-05-02 22:06:44.858988+01,2015-05-02 22:06:44.860372+01,2015-05-02 22:06:44.860372+01,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, datname, pid, usesysid, usename, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-05-02 22:06:44.860378+01
